ContactName,Delete_Contact,Rename_Contact,Comments,Delete_FiveToneCalls,FiveToneCalls-S5CLDLL_5TTELEGRAM,FiveToneCalls-S5CLDLL_5TCALLADD,Delete_MDCCalls,MDCCalls-AU_CALLLSTID,MDCCalls-AU_MDCSYS,MDCCalls-AU_RVRTPERS_Zone,MDCCalls-AU_RVRTPERS,MDCCalls-AU_SPTPLDPL,MDCCalls-AU_CALLTYPE,Delete_QuikCallIICalls,QuikCallIICalls-QU_QCIISYS,QuikCallIICalls-QU_RVRTPERS_Zone,QuikCallIICalls-QU_RVRTPERS,QuikCallIICalls-QU_CALLFORMAT,QuikCallIICalls-QU_TONEATXFRE,QuikCallIICalls-QU_CODEA,QuikCallIICalls-QU_TONEBTXFRE,QuikCallIICalls-QU_CODEB,QuikCallIICalls-QU_STRIPPLDPL,Delete_DigitalCalls,DigitalCalls-DU_CALLLSTID,DigitalCalls-DU_ROUTETYPE,DigitalCalls-DU_CALLPRCDTNEN,DigitalCalls-DU_RINGTYPE,DigitalCalls-DU_TXTMSGALTTNTP,DigitalCalls-DU_CALLTYPE,DigitalCalls-DU_OVCMCALL,Delete_CapacityPlusCalls,CapacityPlusCalls-CAPPLUSUCL_CALLLSTID,CapacityPlusCalls-CAPPLUSUCL_ROUTETYPE,CapacityPlusCalls-CAPPLUSUCL_CALLPRCDTNEN,CapacityPlusCalls-CAPPLUSUCL_RINGTYPE,CapacityPlusCalls-CAPPLUSUCL_TXTMSGALTTNTP,CapacityPlusCalls-CAPPLUSUCL_CALLTYPE,Delete_PhoneCalls,PhoneCalls-PHNUCLELL_CALLID,PhoneCalls-PHNUCLELL_RINGTYPE
Contact Name,Delete_Contact,Rename_Contact,Comments,Delete_FiveToneCalls,Five Tone Calls - Telegram,Five Tone Calls - Address,Delete_MDCCalls,MDC Calls - Call ID (Hex),MDC Calls - MDC System,MDC Calls - Revert Channel Zone,MDC Calls - Revert Channel,MDC Calls - Strip TPL/DPL,MDC Calls - Call Type,Delete_QuikCallIICalls,Quik CallII Calls - Quik-Call II System,Quik CallII Calls - Revert Channel Zone,Quik CallII Calls - Revert Channel,Quik CallII Calls - Call Format,Quik CallII Calls - Tone A Freq (Hz),Quik CallII Calls - Tone A Code,Quik CallII Calls - Tone B Freq (Hz),Quik CallII Calls - Tone B Code,Quik CallII Calls - Strip TPL/DPL,Delete_DigitalCalls,Digital Calls - Call ID,Digital Calls - Route Type,Digital Calls - Call Receive Tone,Digital Calls - Ring Style,Digital Calls - Text Message Alert Tone,Digital Calls - Call Type,Digital Calls - DU_OVCMCALL,Delete_CapacityPlusCalls,Capacity Plus Calls - Call ID,Capacity Plus Calls - Route Type,Capacity Plus Calls - Call Receive Tone,Capacity Plus Calls - Ring Style,Capacity Plus Calls - Text Message Alert Tone,Capacity Plus Calls - Call Type,Delete_PhoneCalls,Phone Calls - Number,Phone Calls - Ring Type
6AGU,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025109,,True,No Style,,Private Call,False,False,,,,,,,False,,
6CNF,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025110,,True,No Style,,Private Call,False,False,,,,,,,False,,
6AYV,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025111,,True,No Style,,Private Call,False,False,,,,,,,False,,
6NPC,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025112,,True,No Style,,Private Call,False,False,,,,,,,False,,
6TIA,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025113,,True,No Style,,Private Call,False,False,,,,,,,False,,
6WDY,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025114,,True,No Style,,Private Call,False,False,,,,,,,False,,
6SUS,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025115,,True,No Style,,Private Call,False,False,,,,,,,False,,
6SAL,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025116,,True,No Style,,Private Call,False,False,,,,,,,False,,
6WHY,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025117,,True,No Style,,Private Call,False,False,,,,,,,False,,
6ATP,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025118,,True,No Style,,Private Call,False,False,,,,,,,False,,
6ASS,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025119,,True,No Style,,Private Call,False,False,,,,,,,False,,
6YEM,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025120,,True,No Style,,Private Call,False,False,,,,,,,False,,
6RAW,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025121,,True,No Style,,Private Call,False,False,,,,,,,False,,
6OLI,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025122,,True,No Style,,Private Call,False,False,,,,,,,False,,
6BDX,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025123,,True,No Style,,Private Call,False,False,,,,,,,False,,
6SUD,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025124,,True,No Style,,Private Call,False,False,,,,,,,False,,
6CIL,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025125,,True,No Style,,Private Call,False,False,,,,,,,False,,
6MAO,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025126,,True,No Style,,Private Call,False,False,,,,,,,False,,
6HPI,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025127,,True,No Style,,Private Call,False,False,,,,,,,False,,
6ART,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025128,,True,No Style,,Private Call,False,False,,,,,,,False,,
6AWB,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025129,,True,No Style,,Private Call,False,False,,,,,,,False,,
6DVA,False,,,False,,,False,,,,,,,False,,,,,,,,,,False,1025130,,True,No Style,,Private Call,False,False,,,,,,,False,,
